ampeaj kam,verdade
amco,"inverno, estação da chuva"
amco ,"terra úmida, terra orvalhada, terra molhada"
amco ,"inverno, estação da chuva"
amcrà  ,terra seca
amcrà  ,"verão, estação seca"
amcro,dia
amcro cati,"feriado, dia de festa"
amcro kên,domingo
amcro mã,"durante o dia, ao dia"
amcro pej,"dia útil, dia de trabalho"
ame,estar: eles estão
amji,"si mesmo, si próprio (pronome reflexivo)"
amji cacrên xà,"coçador de cabeça e pele, raspador"
amji cahtô,satisfazer com comida
amji cajpẽr xà,pensamento
amji caquẽc rũm,atrás de alguém mesmo
amji cawpa,advertir
amji caxê,abraçar
amji caxuw ihhyr,escolher
amji caxuw ihhyr,"escolher, selecionar para si mesmo"
amji cuhtom,"todos reunidos, unidos"
amji cukên,"raspar-se, esfregar-se"
amji cũmpej,"preparar-se, aprontar-se, lavar-se, pentear-se, adornar,"
amji cũmpej,preparar-se
amji cũmtwỳn,relação sexual
amji curê mã,exatamente antes da minha viagem
amji cutor,"receber castigo, pecado"
amji cuxà,repetir-se
amji cwỳrpê,"em benefício por si mesmo, assim"
amji hi,"acabar, completar"
amji hũ cupên,"tocar mãos, sacudir mãos, cumprimentar"
amji jahkre pej,"aptidão, sabedoria, poder"
amji jahkre pej,sabedoria
amji jahôt to ipa,"guardar continuamente perto de si, segurar"
amji jarẽc,"crescer lentamente, melhorar constantemente sem parar"
amji jatuj,"voltar, fazer viagem curta, reduzir-se"
amji jatuj,voltar
amji jaxàr,voltar
amji jirô pê mẽn,jogar em cima de si mesmo
amji jõr,"encher, cheio de, dar a si mesmo, entregar si mesmo"
amji kam hapac xàa to,propósito: de propósito
amji kam kwĩn,pintar- se
amji kampa,planejar
amji kêan kam,"facilmente e muitas vezes, sem problema"
amji kĩn,"alegria, festa"
amji kôt hahôt,guardar ac para si (para uso pessoal)
amji kôt hakop,"relembrar, lembrar"
amji kôt to irô,transferir a culpa de si mesmo a outra pessoa
amji krã kà na amji jarẽn,mentir acerca de si mesmo
amji kujahêc,"viajar, ir"
amji kyjpê,fortalecer-se
amji mã,"para si mesmo (pronome reflexivo), para si próprio"
amji mã ampeaj kam,"em paz, tranquilo"
amji mã ampeaj kam,em paz
amji mã intê,escolher para si mesmo
amji mã kêanre,mal
amji mã kêanre,"mal, maldoso"
amji mã me impej jõr,"fazer paz, passar a vida boa para o outro"
amji mã Pahpãm cupa,"devoto, respeitar Deus, crente em Deus"
amji mã to ihprãmti,algo desejado/ querido/ planejado
amji mã to pomãn caxuw,lembrar dele (de longe)
amji na ihcãmjĩ,"esperar, desejar, pensar se"
amji na inxôr,trazer para si mesmo
amji pupun xà pej,"as coisas boas da vida, vida boa"
amji pyràc,acostumar-se
amji tête,defender-se
amji to hahê,depressa!
amji to hàhhuc,ocupar-se com
amji to hàmnãn,gabar-se
amji to hũjamãr,quieto
amji to ipijapar,crescer
amjia kôt,"por si mesmo, sozinho, por iniciativa própria"
ampa mã,longe
ampo,o que?
ampo cũmpej,limpar algo
ampo hô krorti,dinheiro
ampo jõr xà,presente 
ampo na,por que?
ampo pry,animal
ampo quê,nada
amũ ,distante
apu acagõ,brigar
apu amji pĩ,repreender
apu hahkrã nare,não dividir
apu ihkên nare,não atrasar
aracri,calado
ata,aquele (a)
ata na ri,desta maneira
ata pyràc ,fome 
awcapàtkô,noite
ca,você
cà,"pátio, reunião dos homens"
cà mã ahkra,dia
cacro,quente
cahãj,mulher
cahi ihjo,dominar
cahôr,beijar
cacô ,suco
cacro,"quente, calor"
cagã,"serpente, cobra (nome genérico)"
cahê na,ao lado de
cahôr xà,"balinha, bombom "
cahyt,"contar uma estória, conta (números, pessoas, coisas), ler"
caj,"pajé, curador"
cajcaj,banana brava
cajõt," trançar corda/pano para espremer a água, torcido, ondulado"
cajpẽr xà,pensamento
cakrô,"apesar de, porém, mas, mesmo que ideia: contrário às expectativas"
caku,"estação seca, verão, ano, o ano inteiro"
caku cahhur,"fim de verão, Setembro (antigamente), fim do ano, Dezembro (hoje)"
caku jihôt,"início do ano: verão, Junho (antigamente), início do ano, Janeiro (hoje)"
camẽn," jogar para o chão, rejeitar, empurrar, mover qualquer coisa um pouco ou lentamente"
cãn,cana (de açucar)
capẽn,saudável
capẽn,"quieto, tranquilo, pacífico, inativo, saudável"
capi,experimentar
capi na,perto
capô nõ,manso
capô nõ,"manso, pessoa tranquila "
caprãr,esvaziar
caprĩre,fraco
caprô,sangue
carã,limpar (casa; roça)
carõ kre kà ,casa do espiríto
carõ kre kà ,corpo humano
carôt,força
catac,furioso
catàt,"direito, reto"
catàt kam,"correto, de maneira certa/direita"
catàt tu,rígido como a morte
catàt tỳj,membros ou músculos duros ou rígidos
catàt tỳj,membros ou músculos duros ou rígidos 
cati,"valioso, importante, grande"
cati,importante
catõc ,espingarda
catõc ,arma 
cator,escapar
catut,traseiro
catyt,"estreito, direto, directamente"
catyt kam,corretamente
Catyt kam apa!,Vá em paz
Catyt kam apa,Vá em paz
cawrô,cavalo
caxà,"ventre, útero"
caxàr,queimar 
caxàt,algodão
caxê,estrelas
caxê,estrelas 
càxu,adolescentes
caxwa,noite
caxwa to mõ,"escurecendo, depois do pôr do sol, crepúsculo "
caxwãm catia mã harẽn,dizer a verdade
cô,água
co (ri) he,"atenção!, olhe!, tenha cuidado!"
cô jarare,"brejo, riacho"
cô krã cator,água de nascente
cô krare,riacho 
cô tycre,"café (""água preta"")"
cô xocti/re,cachoeira 
côxwa,mar
côjkwa kat,"horizonte, fim do mundo (relativo ao espaço)"
crat to ipa catêre,mensageiro (do grupo) 
crowrãhti ,serpente não venenosa
cryc,zangado
cuhôn,acender fogo
cukôj ,macaco
cumã ajpẽn kĩnti,amar-se muito
cumã amji kĩn ,festa
cumã ampej,fazer bem a todos
cumã ampi,sincero
cumã capô,explicar
cumã capô,ensinar
cumã caprĩ,ter pena de
cumã cator,achar
cumã hà,estar com dor
cumã hahkre,dar ordem
cumã hakam,saber
cumã hakam to ipa,consolar (no sofrimento)
cumã hàpên prãm,gostar
cumã hikran,libertar
cumã hĩxi,atenção!
cumã hĩxi,casado
cumã ihcawpa,notificar
cumã ihhi cuxêc,encorajar
cumã ihkĩn,amar alguém
cumã ihkrã jakjê,caluniar
cumam ,em frente de
cumãn,avisar 
cuprỳ,moça
curê ,odiar
cuhkrit,sadio
cuhê caprêc,pau brasil pau brasil
cuhê kàhtyc,pau roxo pau roxo
cuhy,fogo
cukrã xà,membros (pernas e braços)
cũmpêti,neblina do amanhecer
cũmtũm,capivara
cũmxê,bacurí
cuna mã,em frente de
cuprãr,raspar
cupu,"embrulhar, empacotar"
cupyre mã,em vez de
curê xwỳn,inimigo
curê xwỳn mẽn,mandar inimigo
Curmã Ihkàhhôc Tuw,Novo Testamento (Bíblia)
cute apu amji cahpa,"ir embora, sair"
cute hajỹr ,é assim; foi assim
cute ihcakwỳr xà,esposo
cutêp,"entretanto, no momento, pertinho"
ee,rápido
hà,"dor, doente, doença, enfermidade"
hã,Bom!
hã,Bom! (Atenção)
hacot,curto
hahêr (1a),encher
hajor,escorregar
haka ,branco
hakep,cortar
hakôr ,soprar
hakôt ,montanha
hàpà,alô
hàpir,subir
hapjêr ,arrastar
hàxà,urinar
hacpỹ nea mã tẽ,voltar imediatamente
hacjên xà,"prisão, cadeia"
hahhe,abrir
hàhhĩc ,espirrar
hàhkĩj xi,ladrão
hàhtàatre,cuidadoso
hàhtõtõc,barulho
hàhwỳr,mendigar
hàhwỳr,pedir alg
hahkre,"verificar (sem objeto declarado), analisar"
hahkre pej / hahkrepej,"sábido, prudente"
hàhtêp,"aproximar-se, perto de"
hahũm,"sem filhos, estéril"
hàhwỳr cati,"preço alto, caro"
hajor,"escorregar, empurrar"
hajỹar,também
haka,branco
hakà tehtetre,banana prata banana prata 
hakẽn,"peito firme, peito jovem"
hàkôr xà,"instrumento musical (flauta, buzina, ) "
hàmcjên,preparar 
hàmcràn ,distribuir
hàmjõr,pagar
hamne mã,vem cá
hàmra cati,animado
hamre,acabou
hàmjika,"terreno (dele), aldeia (dele), lugar do seu nascimento"
hàmxwỳr ,declive
hàmxwỳr ,"baixar, descer, andar levantando e baixando os pés muito lentamente, flecha aterrissando, aterrissar: avião chegando, ficando mais e mais baixo "
hàpà,"alô, oi, bom dia, boa tarde, boa noite"
hapac caxun,aconselhá-lo
hapac nõ,preguiçoso
hapac xà ,ter saudade de
hapackre ,"rápido para aprender, alerto, obediente "
hapackre ,"aconselhar alg, dar conselhos, avisar alg, formar uma criança"
hapê,compaixão
hàpên,trabalhar
hàpên jàpên; apê,trabalhar
hàpĩn,"compadre, amigo (formal)"
haprôr haprô; japrôr; japrô,"guiar, encaminhar, conduzir (uma pessoa ou um animal, com mão ou corda)"
hapu na ,hoje em dia
hapxê,diminuindo
harcô mẽn ,abençoar
harẽn catê,conselheiro
harẽn par,reconhecer
hàrêr kêt,pobre
harêt,enterrar
harij,grávida
harkwa  jarkwa,boca
harkwa  jarkwa,"palavra, fala"
harkwa jirô pê pỳm,desobedecer
harkwa ta,"dar ordem (singular), mandar recado"
harkwa tep xà,batom
hĩ ,pessoa
hĩx,esposa
hihê,fechar
hihê mẽn,abrir
hĩjakre,nariz
hikwa tuw xà,casamento
hipêr,de novo
hipu,encher
hĩràti,grande
hirô pê ,depois
hitô kà ,camisa
hõ (4),comida
hõt,dormir
hõt xà,casa
hôxãhxãc,"galinha, galo, frango"
hũ,mão
hũpar nare,desobediente
hũhkàr ,pagar
hũhkra jõkwa,palma da mão
hũjakry,"tempo frio, noite, meia-noite"
hũmre,homem
hũntỳj,pulso
hũpar,"escutar, ouvir, obedecer, conhecer "
ipicahhêc,quebrado
ipictor ,perder
ipimprar,acordar
ita ahna,isto é bom
ihcacrên,coçar
ihcupan,errar
ihcunea,todos
ihhêj rũm,aparentemente
ihhêj xi,mentiroso
ihhi ,morto
ihho,misturar
ihhôc ,pintar
ihhur ,cancelar
ihjaw,comer tudo
ihkac,tossir
ihkàhhôc pej,bagunça
ihkên pej,depressa
ihkên pôc,ir lentamente
ihkô kat jarêt to mõ,grávida
ihkõm ,beber
ihkôt,descansar
ihkôt ,descansar
ihkrã kêatre,estúpido
ihkrã mã,pensando sobre
ihkrihkrit xà,notícias más
ihkro,ter mau cheiro
ihprà ,brilhante
ihprõrprõt,cozinhar
ihpỳm xà,nascimento
ihcacu,"podre, apodrecer, enferrujado, terra preta"
ihcacure,"mole, macio, fácil, fraco"
ihcahhê catê,doutor
ihcahkô,"arroz, milho"
ihcahkô,"arroz, milho "
ihcahma,"interromper, aborrecer"
ihcakrỳn,"mover, mexer, remar"
ihcamnãn,dar pontapés em
ihcãmxar,morder
ihcapa na,"curva, dobrar"
ihcapê,"alinhada, raspada"
ihcapĩr,sacudir
ihcapõn,varrer
ihcarõ cator,menstruando
ihcatêc,esmagar
ihhôc tore,dinheiro 
ihhôc xà,pintura corporal
ihkra kà,"primogênito, primeiro filho/a (dele/a)"
ihpro catê,"soldado, guarda"
ihpỹnre,"escasso, poucos"
ihtehcajpar catê,"ajudante, assistente, diácono, diaconisa "
ihtẽm xà ,"hora da saída, viagem, coisas que alg leva"
ihtẽm xà  ,"pegadas, rastros de animais pequenos"
ihtic,grávida
ihtĩr xà,vida
ihtotoc,"pulsação, dor, doer, bater"
ihtotocre,coração
ihtũm jũrên xà,sabão 
ihtycrĩ xà,"cansadissimo, cansaço"
ihtỳj apu cupê amji cahpa,"contradizer, complicar "
ikà xà,"lugar onde eu nasci, onde eu cresci"
ikwỳ nõ,amigo (meu)
impej,"bom, bonito, importante"
imprar prãmre,"pronto para ir, agir, correr"
imput,pescoço
intête hàmtàr,defender
incaca,respirar
incojre,"filho dele, filhinho "
incot,"verde (fruto), fruta não madura "
incrô,"carvão, brasas de fogo "
intête cumãn,"mandar, dizer, ordenar"
intête hàmtàr,"proteger, defender"
into ,olho
into cacô,lágrimas 
into jĩ jakre tyc,"estação da chuva, noite"
intuw pea mã,imediatamente
inxê,"mãe (minha; 1ª pessoa), mamãe"
inxi,mãe (dele/a; 3° pessoa) 
inxũ,"pai tratamento direto do pai, meu pai "
ipimprar ,acordar
ipimtir,sonhar
ipin,comer
ipinkrin,"silencioso, quieto, tranquilo"
irerec pej,esconder verdadeiras emoções
jaja,"vovó, jaja, avó"
jaja,"vovó, jaja, avó palavra de origem brasileira"
jamã ne,possivelmente
jamã ne ,possivelmente
jàt,batatas doce
jeaj,expressão de medo
jôhjôtre,tucano
jôjô,"vovô, jôjô, avô palavra de origem brasileira"
jôt,"coxear, mancar, manquejar"
jũ mã quê,"impossível, não tem jeito"
jũ mãn,fazer barulho
jũ na,"insatisfeito, discontente"
jũ na,insatisfeito
jũ na ri cute,O que parece? Como ele está?
jũ na xà hamreare,não tem problema
jũ ri quê,nenhum lugar
jũm na ri,Sobre quem?
jũm quê,"ninguém, não tem ninguém"
jũnre,beija-flor
kàj cahàc,machado de pedra
kaj pore,cesto pequeno e profundo
kàjpej pê,falar baixo
kam,"dentro de, em"
kam hacjên,acusar
kam hahyr xà,martelo
kam hahyr xà,martelo 
kam impar,escutar
kam jêt,encontrar alguém
kẽn,"pedra, monte"
kĩjare,"falcão, gavião"
kôc,vento
krã,"olhe!, escute!, atenção!, oi!"
krĩ pytàr catê,"defensor de aldeia (daí: o chefe de aldeia), chefe de aldeia "
kry,rede
kwỳ ,um pouco de
kwỳr te pro,beiju
kyre pê,quase não
ma apu,"realmente, com certeza, certamente, claro que"
ma ne?,"Está certo?, Está bom?"
ma ne?,Está bom?
me ahna cakôc catê,porta-voz principal de um grupo 
me catê (Porquinhos) ,"gente, povo, índio, índios Canela "
me pahcajpuw putwrỳre jỹ,lua cheia
me pajĩ,nossa gente
me to ihhi impej catê,"chefe, líder"
mehĩ jamãr catêjê,"guardas, soldados, protetores"
mehwejti,o grupo dos velhos no pátio
mẽn,"jogar, destampar coberto, tirar coberto"
mencrêre,aqueles
menxy xà,"costume deles, lei deles, festas"
menxyre,"prostitutas, adúlteras"
mĩ,pega
mĩ,pega!
mõ ne,Já vou!
mõr,ir
mõr xà,rastros
mprar prãm nõ,preguiçoso
mrõr,mergulhar
mỹ nea mã,"ainda, por enquanto"
na mã,se somente
na pire mã,próximo de
nãmhã,Já chega
nãmri! ,Não! (Expressão de advertência)
nare,"não, nem, se não, assim"
ne tapãn,e também
new,dívidas
nỹre,"sem sabor, choço"
pa,eu
Pahpãm himpej xà,Reino de Deus
Pahpãm jarkwa,"Palavra de Deus, Bíblia"
paj,"carangueijo, crustáceo do mangue"
pajõ xwỳn,"Satanás, o nosso inimigo"
pàn,arara
pàr hô,"fumo, tabaco, narcótico"
pàr hô cahàc,folhas de diambo
pàr hyre,pimenta
par kà,"sapatos, chinelos"
pàr krãnti,"fruta, casca verde"
pàr kre,canoa
pàr kreti,arca de Noé
pàr kwỳc,mesa
pàrkỳjre,peixe pequeno
parpup,jaracuçu serpente da água
parxà,"animais domésticos, criação"
pàt,"tamanduá, bandeira"
pàt cahàcre,preguiça
patkritre,pequena cascavel
pàtre,mambira tipo de preguiça
patti,cascavel
pea,"assim, logo, e então"
pea hamre,"e assim, pronto"
pêa hito,O que é isso?
peaj,"só, somente"
pêkê parkop,árvore macia
penhôc,"borracha, plástico"
penhôc cuhkwỳrti,"caminhão, carro"
penhôc pàr,mangueira
pepkwỳj,guerreira
pĩ rocre,árvore de cande
pijahôr,mamar
pjê,terra
pjê hy,"arbustos, mata"
pjê jituw,"lugar baixo no chão, vala"
pjê pỳm,"lugar baixo no chão, vala, lugar baixo"
pjêc rãm,árvore macia
pjêcre,seriema
põ,"estepe, chapada"
po pejre,cabra
po ri,longe
põkrô,arbusto mucunã
por,olhe aí
prãm,fome
pryti,gado
pyràr,usar
pyrẽntu,imediatamente
pyt cjêj xà rũm,"oeste, em direção de onde entra o sol"
pyt jirot pec pej,400hs à tarde
pyt kam,qualquer tempo depois do meio-dia
pyt totocre,relógio
pytẽc,jacu
pytĩ,"pesado, pesadíssimo"
pytĩ,pesado
pyttu,anoitecer
pytykrit,"pica-pau, pinhaca pau"
quê pijamã,Poderia ser?
quêjê,mulheres velhas
quêt ahnaa,"dar certo, caber"
quêt ca,Está em suas mãos; Você escolhe
quêt ca,Você escolhe
quêt ca amji mã to,faça você mesmo
quêt mã ca,faça para si mesmo
quêt ta,escolha dele
quêt ta me to amã,deixe-los fazê-lo para você
quêtjê,homens velhos
quêtjê,homens velhos 
quire,doninha
ràm kô kam me kra,"Canela, os primeiros residentes na aldeia"
ramã,já
reria mã,antigamente
rohnỳtti mã,para sempre
rôr pỳn,morrer
roroc,Pau d’arco
rỳ  nare,ainda não
ta mã,está certo
ta wrỳ,está chovendo
tàkam mã,parece
também,também
taxuw,daqui em diante
tee apu {} to hàhhuc,preocupado por causa de
to ahna hàhpan,trocar com dinheiro
to amji capên,gastar
to amji caprãr,completar tudo
to amji mã hàmra rũm,apesar de
to amji mã ihhimpej,acreditar em
to amji tekjê,apto
to amji to pejpej,pessoa inteligente
to camẽn ,aumentar
to cô ,com certeza
to cuhôn,acender o fogo
to hàpên,punir
to hàhkĩj,roubar
to hahkre ,estudar 
to hahkre ,tentar
to hàhtàt,tímido
to hàhtõc,brigar
to hahkre ,estudar ac
to hahkre catê(jê),professor(es); estudante(s)
to hàmnãn,falar bem de alg
to hapac ,preopucar-se
to hapac kêt,desrespeitar
to hapac xà,saudade de
to hũjahkre xà,promessa
to hũjamãr,ter paciência com alg
to hũràc,sair vitorioso sobre
to hy,encantar alguém
to ipintuw,mudar-se
to ihhimpej ,providenciar
to ihkên,fazer mal
to ihkên pôc,demorar muito tempo
to ihkênre nare,ser muito bom para alguém
to ihkrit,ser dono de
to ihpôj,desmontar
to ihtỳj tu,castigar
to ihhimpej ,"ensinar, governar alg"
to ihhimpej,"suprir, providenciar o poder; mandar; governar, agir com"
to impar,oferecer
to jũa mãn,prejudicar
to mrõr ,cozinhar
to pên to ipa,resmungar
to pên to mõ,perseguir
to prit ,rasgar
to ta mã,acreditar
to tojnõ,perdoar
to uu!,Faça depressa!
to uu!,"Faça depressa!, Vem rápido!,
Ligeiro!"
to xwỳ,doer
ton,criar
uu ne une,imediatamente
wa ,sal
wa kra,"Eu não vou, Eu não posso "
wa põn,amolar
wewe,borboleta
wỳr quê ajte,impossível
xà ,doente
Xà ajkĩ,É verdade?
xà awki,pode ser?
xãmte,De fato!
xi(r),colocar
xwa,tomar banho
xwỳ mã,pode ser
xwỳr,ir tomar banho
xỳre,amargo
ỹhỹ,sim 
